Abogado(a) particular|
Abogado(a), Defensor(a) público(a)|Se utiliza para el defensor(a) de oficio
Académico(a) o investigador(a)|
Agente comercial, de ventas|
Agricultor(a)|
Artesano(a)|
Artista|
Ayudante o peón|
Comerciante|
Comunicador(a) social|
Conductor(a) de transporte|
Delincuente común|Excepto narcotraficante y sicario(a)
Deportista|
Directivo(a) de organización política, sindical, asociación civil, ONG|
Empleado(a) de banco o institución financiera|
Empleado(a) de comercio|
Empleado(a) de institución penitenciaria|
Empleado(a) de organización política, sindical, asociación civil, ONG|
Empleado(a) en la construcción|
Empleado(a) en la industria|
Empleado(a) en mina o cantera|
Empleado(a) en otro oficio|Diferente a construcción, industria, mina y cantera, prostitución, trabajo doméstico, protección y vigilancia y peón en el campo
Empleado(a) en procuraduría|
Empleado(a) en servicio de protección y vigilancia|
Empleado(a) en servicio doméstico|
Empleado(a) judicial|
Empleado(a) público(a)|Excepto de empleado(a) en procuraduría, empleado(a) judicial y en institución penitenciaria
Empresario(a)|
Estudiante|
Fiscal|Procurador(a), Ministerio Público
Funcionario(a) público(a)|Directores(as), Secretarios(as) de Estado, subsecretarios(as), Directores generales. Excepto Juez(a), Legislador(a) y Fiscal
Gerente, administrador(a) de empresa o comercio|
Juez(a)|
Labores del hogar|
Legislador(a)|
Maestro(a)|
Militar (general, jefe u oficial)|Usar para: General, Mayor, Teniente Coronel y Coronel, Subteniente, Teniente, Capitán Segundo y Capitán Primero
Militar de tropa|Usar para Soldado, Cabo, Sargento Segundo y Sargento Primero
Narcotraficante|
Notario(a) público(a)|
Oficinista|
Operador(a) de maquinaria y equipo|
Personal de la Marina|
Pescador(a)|
Policía|Usar para todos los tipos de policía: tránsito, seguridad pública, etc.; excepto investigadora 
Policía investigador(a)|AFI, Policía Ministerial, Policía Judicial
Portero(a), conserje|
Prestamista|
Profesional de la salud del sector privado|
Profesional de la salud del sector público|
Profesionista|Cualquier otro profesionista que no esté especificado en la lista
Promotor(a)|
Religioso(a)|
Sicario(a)|Asesino(a) a sueldo
Técnico(a)|
Trabajador(a) ambulante|Excepto vendedor(a) ambulante. Trabajador(a) que ofrece sus servicios de casa en casa, o en la calle: afilador(a) de cuchillos, bolero(a), plomero(a), etc.
Trabajador(a) dedicado a la prostitución|
Trabajador(a) voluntario(a)|
Trabajador(a), peón en el campo|
Vendedor(a) ambulante|Persona que vende mercancías ya sea en un puesto en la calle, o de casa en casa
